# data/ber-modem/ber_V29.dat : auto-generated file
# invoked as: ./src/simulate_ber -m V29 -p 4 -cnone -knone -b1e-5 -e 700 -n320000 -t480000000 -s-9 -d1.0 -x60 -o data/ber-modem/ber_V29.dat 
#
#  modulation scheme   :   V.29
#  modulation depth    :   4 bits/symbol
#  fec (inner)         :   none
#  fec (outer)         :   none
#  frame length        :   256 bytes
#  asymptotic rate     :   4.00000000   bits/second/Hz
#  min packet errors   :   0
#  min bit errors      :   700
#  min packet trials   :   0
#  min bit trials      :   320000
#  max packet trials   :   18446744073709551615
#  max bit trials      :   480000000
#
#     SNR [dB]   Eb/N0 [dB]          BER          PER     bit errs         bits  packet errs      packets
   -9.00000000  -1.5021e+01   4.3470e-01   1.0000e+00       139773       321536          157          157
   -8.00000000  -1.4021e+01   4.2370e-01   1.0000e+00       136235       321536          157          157
   -7.00000000  -1.3021e+01   4.1259e-01   1.0000e+00       132663       321536          157          157
   -6.00000000  -1.2021e+01   4.0082e-01   1.0000e+00       128878       321536          157          157
   -5.00000000  -1.1021e+01   3.8636e-01   1.0000e+00       124230       321536          157          157
   -4.00000000  -1.0021e+01   3.7235e-01   1.0000e+00       119724       321536          157          157
   -3.00000000  -9.0206e+00   3.5572e-01   1.0000e+00       114377       321536          157          157
   -2.00000000  -8.0206e+00   3.3666e-01   1.0000e+00       108249       321536          157          157
   -1.00000000  -7.0206e+00   3.1336e-01   1.0000e+00       100755       321536          157          157
    0.00000000  -6.0206e+00   2.9275e-01   1.0000e+00        94131       321536          157          157
    1.00000000  -5.0206e+00   2.7174e-01   1.0000e+00        87374       321536          157          157
    2.00000000  -4.0206e+00   2.4754e-01   1.0000e+00        79593       321536          157          157
    3.00000000  -3.0206e+00   2.2514e-01   1.0000e+00        72390       321536          157          157
    4.00000000  -2.0206e+00   2.0234e-01   1.0000e+00        65060       321536          157          157
    5.00000000  -1.0206e+00   1.7870e-01   1.0000e+00        57459       321536          157          157
    6.00000000  -2.0600e-02   1.5686e-01   1.0000e+00        50437       321536          157          157
    7.00000000   9.7940e-01   1.3420e-01   1.0000e+00        43150       321536          157          157
    8.00000000   1.9794e+00   1.1242e-01   1.0000e+00        36148       321536          157          157
    9.00000000   2.9794e+00   9.1290e-02   1.0000e+00        29353       321536          157          157
   10.00000000   3.9794e+00   7.1329e-02   1.0000e+00        22935       321536          157          157
   11.00000000   4.9794e+00   5.2542e-02   1.0000e+00        16894       321536          157          157
   12.00000000   5.9794e+00   3.6941e-02   1.0000e+00        11878       321536          157          157
   13.00000000   6.9794e+00   2.4224e-02   1.0000e+00         7789       321536          157          157
   14.00000000   7.9794e+00   1.4244e-02   1.0000e+00         4580       321536          157          157
   15.00000000   8.9794e+00   7.8560e-03   1.0000e+00         2526       321536          157          157
   16.00000000   9.9794e+00   3.7321e-03   9.9363e-01         1200       321536          156          157
   17.00000000   1.0979e+01   1.3822e-03   8.6290e-01          702       507904          214          248
   18.00000000   1.1979e+01   4.6630e-04   5.0614e-01          700      1501184          371          733
   19.00000000   1.2979e+01   1.4283e-04   1.9265e-01          700      4900864          461         2393
   20.00000000   1.3979e+01   2.3545e-05   3.3960e-02          700     29730816          493        14517
   21.00000000   1.4979e+01   3.0531e-06   4.2518e-03          700    229277696          476       111952
