# data/ber-modem/ber_apsk16.dat : auto-generated file
# invoked as: ./src/simulate_ber -m apsk -p 4 -cnone -knone -b1e-5 -e 700 -n320000 -t480000000 -s-9 -d1.0 -x60 -o data/ber-modem/ber_apsk16.dat 
#
#  modulation scheme   :   amplitude/phase-shift keying
#  modulation depth    :   4 bits/symbol
#  fec (inner)         :   none
#  fec (outer)         :   none
#  frame length        :   256 bytes
#  asymptotic rate     :   4.00000000   bits/second/Hz
#  min packet errors   :   0
#  min bit errors      :   700
#  min packet trials   :   0
#  min bit trials      :   320000
#  max packet trials   :   18446744073709551615
#  max bit trials      :   480000000
#
#     SNR [dB]   Eb/N0 [dB]          BER          PER     bit errs         bits  packet errs      packets
   -9.00000000  -1.5021e+01   4.3206e-01   1.0000e+00       138924       321536          157          157
   -8.00000000  -1.4021e+01   4.2066e-01   1.0000e+00       135256       321536          157          157
   -7.00000000  -1.3021e+01   4.1169e-01   1.0000e+00       132374       321536          157          157
   -6.00000000  -1.2021e+01   3.9906e-01   1.0000e+00       128313       321536          157          157
   -5.00000000  -1.1021e+01   3.8595e-01   1.0000e+00       124097       321536          157          157
   -4.00000000  -1.0021e+01   3.7098e-01   1.0000e+00       119282       321536          157          157
   -3.00000000  -9.0206e+00   3.5538e-01   1.0000e+00       114268       321536          157          157
   -2.00000000  -8.0206e+00   3.3576e-01   1.0000e+00       107959       321536          157          157
   -1.00000000  -7.0206e+00   3.1313e-01   1.0000e+00       100682       321536          157          157
    0.00000000  -6.0206e+00   2.9382e-01   1.0000e+00        94475       321536          157          157
    1.00000000  -5.0206e+00   2.6949e-01   1.0000e+00        86651       321536          157          157
    2.00000000  -4.0206e+00   2.4479e-01   1.0000e+00        78708       321536          157          157
    3.00000000  -3.0206e+00   2.2300e-01   1.0000e+00        71703       321536          157          157
    4.00000000  -2.0206e+00   1.9924e-01   1.0000e+00        64063       321536          157          157
    5.00000000  -1.0206e+00   1.7640e-01   1.0000e+00        56720       321536          157          157
    6.00000000  -2.0600e-02   1.5253e-01   1.0000e+00        49044       321536          157          157
    7.00000000   9.7940e-01   1.2921e-01   1.0000e+00        41547       321536          157          157
    8.00000000   1.9794e+00   1.0812e-01   1.0000e+00        34765       321536          157          157
    9.00000000   2.9794e+00   8.6360e-02   1.0000e+00        27768       321536          157          157
   10.00000000   3.9794e+00   6.6708e-02   1.0000e+00        21449       321536          157          157
   11.00000000   4.9794e+00   4.8026e-02   1.0000e+00        15442       321536          157          157
   12.00000000   5.9794e+00   3.2625e-02   1.0000e+00        10490       321536          157          157
   13.00000000   6.9794e+00   2.0396e-02   1.0000e+00         6558       321536          157          157
   14.00000000   7.9794e+00   1.1293e-02   1.0000e+00         3631       321536          157          157
   15.00000000   8.9794e+00   6.0491e-03   1.0000e+00         1945       321536          157          157
   16.00000000   9.9794e+00   2.5751e-03   1.0000e+00          828       321536          157          157
   17.00000000   1.0979e+01   8.5571e-04   8.3250e-01          701       819200          333          400
   18.00000000   1.1979e+01   2.3315e-04   3.7653e-01          700      3002368          552         1466
   19.00000000   1.2979e+01   5.1217e-05   1.0205e-01          701     13686784          682         6683
   20.00000000   1.3979e+01   7.9012e-06   1.6205e-02          700     88594432          701        43259
