# data/ber-modem/ber_arb128opt.dat : auto-generated file
# invoked as: ./src/simulate_ber -m arb128opt -cnone -knone -b1e-5 -e 700 -n320000 -t640000000 -s-9 -d1.0 -x60 -o data/ber-modem/ber_arb128opt.dat 
#
#  modulation scheme   :   arb128opt (optimal 128-qam)
#  modulation depth    :   7 bits/symbol
#  fec (inner)         :   none
#  fec (outer)         :   none
#  frame length        :   256 bytes
#  asymptotic rate     :   7.00000000   bits/second/Hz
#  min packet errors   :   0
#  min bit errors      :   700
#  min packet trials   :   0
#  min bit trials      :   320000
#  max packet trials   :   18446744073709551615
#  max bit trials      :   640000000
#
#     SNR [dB]   Eb/N0 [dB]          BER          PER     bit errs         bits  packet errs      packets
   -9.00000000  -1.7451e+01   4.6585e-01   1.0000e+00       149788       321536          157          157
   -8.00000000  -1.6451e+01   4.6022e-01   1.0000e+00       147977       321536          157          157
   -7.00000000  -1.5451e+01   4.5642e-01   1.0000e+00       146755       321536          157          157
   -6.00000000  -1.4451e+01   4.4836e-01   1.0000e+00       144163       321536          157          157
   -5.00000000  -1.3451e+01   4.4163e-01   1.0000e+00       142000       321536          157          157
   -4.00000000  -1.2451e+01   4.3347e-01   1.0000e+00       139375       321536          157          157
   -3.00000000  -1.1451e+01   4.2566e-01   1.0000e+00       136864       321536          157          157
   -2.00000000  -1.0451e+01   4.1510e-01   1.0000e+00       133468       321536          157          157
   -1.00000000  -9.4510e+00   4.0244e-01   1.0000e+00       129400       321536          157          157
    0.00000000  -8.4510e+00   3.9253e-01   1.0000e+00       126211       321536          157          157
    1.00000000  -7.4510e+00   3.7837e-01   1.0000e+00       121658       321536          157          157
    2.00000000  -6.4510e+00   3.6315e-01   1.0000e+00       116766       321536          157          157
    3.00000000  -5.4510e+00   3.4753e-01   1.0000e+00       111745       321536          157          157
    4.00000000  -4.4510e+00   3.3179e-01   1.0000e+00       106684       321536          157          157
    5.00000000  -3.4510e+00   3.1472e-01   1.0000e+00       101194       321536          157          157
    6.00000000  -2.4510e+00   2.9768e-01   1.0000e+00        95714       321536          157          157
    7.00000000  -1.4510e+00   2.8191e-01   1.0000e+00        90645       321536          157          157
    8.00000000  -4.5098e-01   2.6227e-01   1.0000e+00        84330       321536          157          157
    9.00000000   5.4902e-01   2.4683e-01   1.0000e+00        79366       321536          157          157
   10.00000000   1.5490e+00   2.2873e-01   1.0000e+00        73546       321536          157          157
   11.00000000   2.5490e+00   2.1139e-01   1.0000e+00        67971       321536          157          157
   12.00000000   3.5490e+00   1.9352e-01   1.0000e+00        62225       321536          157          157
   13.00000000   4.5490e+00   1.7721e-01   1.0000e+00        56979       321536          157          157
   14.00000000   5.5490e+00   1.5729e-01   1.0000e+00        50575       321536          157          157
   15.00000000   6.5490e+00   1.3935e-01   1.0000e+00        44806       321536          157          157
   16.00000000   7.5490e+00   1.1936e-01   1.0000e+00        38377       321536          157          157
   17.00000000   8.5490e+00   1.0122e-01   1.0000e+00        32547       321536          157          157
   18.00000000   9.5490e+00   8.2209e-02   1.0000e+00        26433       321536          157          157
   19.00000000   1.0549e+01   6.1309e-02   1.0000e+00        19713       321536          157          157
   20.00000000   1.1549e+01   4.4076e-02   1.0000e+00        14172       321536          157          157
   21.00000000   1.2549e+01   2.9966e-02   1.0000e+00         9635       321536          157          157
   22.00000000   1.3549e+01   1.7329e-02   1.0000e+00         5572       321536          157          157
   23.00000000   1.4549e+01   9.1840e-03   1.0000e+00         2953       321536          157          157
   24.00000000   1.5549e+01   4.4070e-03   1.0000e+00         1417       321536          157          157
   25.00000000   1.6549e+01   1.6169e-03   8.6321e-01          702       434176          183          212
   26.00000000   1.7549e+01   4.2939e-04   4.3970e-01          700      1630208          350          796
   27.00000000   1.8549e+01   9.5049e-05   1.2625e-01          700      7364608          454         3596
   28.00000000   1.9549e+01   1.5368e-05   2.1416e-02          701     45615104          477        22273
   29.00000000   2.0549e+01   1.3547e-06   1.9737e-03          700    516737024          498       252313
