# data/ber-modem/ber_arb16opt.dat : auto-generated file
# invoked as: ./src/simulate_ber -m arb16opt -p 4 -cnone -knone -b1e-5 -e 700 -n320000 -t640000000 -s-9 -d1.0 -x60 -o data/ber-modem/ber_arb16opt.dat 
#
#  modulation scheme   :   arb16opt (optimal 16-qam)
#  modulation depth    :   4 bits/symbol
#  fec (inner)         :   none
#  fec (outer)         :   none
#  frame length        :   256 bytes
#  asymptotic rate     :   4.00000000   bits/second/Hz
#  min packet errors   :   0
#  min bit errors      :   700
#  min packet trials   :   0
#  min bit trials      :   320000
#  max packet trials   :   18446744073709551615
#  max bit trials      :   640000000
#
#     SNR [dB]   Eb/N0 [dB]          BER          PER     bit errs         bits  packet errs      packets
   -9.00000000  -1.5021e+01   4.3289e-01   1.0000e+00       139189       321536          157          157
   -8.00000000  -1.4021e+01   4.2462e-01   1.0000e+00       136531       321536          157          157
   -7.00000000  -1.3021e+01   4.1455e-01   1.0000e+00       133294       321536          157          157
   -6.00000000  -1.2021e+01   4.0164e-01   1.0000e+00       129141       321536          157          157
   -5.00000000  -1.1021e+01   3.8707e-01   1.0000e+00       124456       321536          157          157
   -4.00000000  -1.0021e+01   3.7325e-01   1.0000e+00       120013       321536          157          157
   -3.00000000  -9.0206e+00   3.5643e-01   1.0000e+00       114605       321536          157          157
   -2.00000000  -8.0206e+00   3.3578e-01   1.0000e+00       107966       321536          157          157
   -1.00000000  -7.0206e+00   3.1482e-01   1.0000e+00       101226       321536          157          157
    0.00000000  -6.0206e+00   2.9408e-01   1.0000e+00        94556       321536          157          157
    1.00000000  -5.0206e+00   2.7072e-01   1.0000e+00        87045       321536          157          157
    2.00000000  -4.0206e+00   2.4534e-01   1.0000e+00        78886       321536          157          157
    3.00000000  -3.0206e+00   2.2024e-01   1.0000e+00        70816       321536          157          157
    4.00000000  -2.0206e+00   1.9577e-01   1.0000e+00        62946       321536          157          157
    5.00000000  -1.0206e+00   1.7171e-01   1.0000e+00        55210       321536          157          157
    6.00000000  -2.0600e-02   1.4928e-01   1.0000e+00        47998       321536          157          157
    7.00000000   9.7940e-01   1.2734e-01   1.0000e+00        40944       321536          157          157
    8.00000000   1.9794e+00   1.0591e-01   1.0000e+00        34054       321536          157          157
    9.00000000   2.9794e+00   8.5176e-02   1.0000e+00        27387       321536          157          157
   10.00000000   3.9794e+00   6.4413e-02   1.0000e+00        20711       321536          157          157
   11.00000000   4.9794e+00   4.5634e-02   1.0000e+00        14673       321536          157          157
   12.00000000   5.9794e+00   3.0084e-02   1.0000e+00         9673       321536          157          157
   13.00000000   6.9794e+00   1.8153e-02   1.0000e+00         5837       321536          157          157
   14.00000000   7.9794e+00   9.8683e-03   1.0000e+00         3173       321536          157          157
   15.00000000   8.9794e+00   4.2141e-03   1.0000e+00         1355       321536          157          157
   16.00000000   9.9794e+00   1.6639e-03   9.4660e-01          702       421888          195          206
   17.00000000   1.0979e+01   4.4447e-04   5.6437e-01          700      1574912          434          769
   18.00000000   1.1979e+01   9.6936e-05   1.6109e-01          700      7221248          568         3526
   19.00000000   1.2979e+01   1.6157e-05   3.0017e-02          700     43325440          635        21155
   20.00000000   1.3979e+01   1.4822e-06   2.8578e-03          700    472262656          659       230597
