# data/ber-modem/ber_arb64vt.dat : auto-generated file
# invoked as: ./src/simulate_ber -m arb64vt -p 6 -cnone -knone -b1e-5 -e 700 -n320000 -t480000000 -s-9 -d1.0 -x60 -o data/ber-modem/ber_arb64vt.dat 
#
#  modulation scheme   :   arb64vt (64-qam vt logo)
#  modulation depth    :   6 bits/symbol
#  fec (inner)         :   none
#  fec (outer)         :   none
#  frame length        :   256 bytes
#  asymptotic rate     :   6.00000000   bits/second/Hz
#  min packet errors   :   0
#  min bit errors      :   700
#  min packet trials   :   0
#  min bit trials      :   320000
#  max packet trials   :   18446744073709551615
#  max bit trials      :   480000000
#
#     SNR [dB]   Eb/N0 [dB]          BER          PER     bit errs         bits  packet errs      packets
   -9.00000000  -1.6782e+01   4.5647e-01   1.0000e+00       146771       321536          157          157
   -8.00000000  -1.5782e+01   4.4951e-01   1.0000e+00       144535       321536          157          157
   -7.00000000  -1.4782e+01   4.4213e-01   1.0000e+00       142161       321536          157          157
   -6.00000000  -1.3782e+01   4.3578e-01   1.0000e+00       140119       321536          157          157
   -5.00000000  -1.2782e+01   4.2755e-01   1.0000e+00       137472       321536          157          157
   -4.00000000  -1.1782e+01   4.1699e-01   1.0000e+00       134078       321536          157          157
   -3.00000000  -1.0782e+01   4.0692e-01   1.0000e+00       130839       321536          157          157
   -2.00000000  -9.7815e+00   3.9565e-01   1.0000e+00       127215       321536          157          157
   -1.00000000  -8.7815e+00   3.8289e-01   1.0000e+00       123114       321536          157          157
    0.00000000  -7.7815e+00   3.7155e-01   1.0000e+00       119467       321536          157          157
    1.00000000  -6.7815e+00   3.5710e-01   1.0000e+00       114820       321536          157          157
    2.00000000  -5.7815e+00   3.4107e-01   1.0000e+00       109665       321536          157          157
    3.00000000  -4.7815e+00   3.2494e-01   1.0000e+00       104481       321536          157          157
    4.00000000  -3.7815e+00   3.1059e-01   1.0000e+00        99866       321536          157          157
    5.00000000  -2.7815e+00   2.9424e-01   1.0000e+00        94609       321536          157          157
    6.00000000  -1.7815e+00   2.7614e-01   1.0000e+00        88788       321536          157          157
    7.00000000  -7.8151e-01   2.5951e-01   1.0000e+00        83441       321536          157          157
    8.00000000   2.1849e-01   2.4145e-01   1.0000e+00        77636       321536          157          157
    9.00000000   1.2185e+00   2.2171e-01   1.0000e+00        71287       321536          157          157
   10.00000000   2.2185e+00   2.0193e-01   1.0000e+00        64927       321536          157          157
   11.00000000   3.2185e+00   1.8171e-01   1.0000e+00        58425       321536          157          157
   12.00000000   4.2185e+00   1.6188e-01   1.0000e+00        52051       321536          157          157
   13.00000000   5.2185e+00   1.4254e-01   1.0000e+00        45833       321536          157          157
   14.00000000   6.2185e+00   1.2402e-01   1.0000e+00        39877       321536          157          157
   15.00000000   7.2185e+00   1.0632e-01   1.0000e+00        34187       321536          157          157
   16.00000000   8.2185e+00   9.0030e-02   1.0000e+00        28948       321536          157          157
   17.00000000   9.2185e+00   7.5488e-02   1.0000e+00        24272       321536          157          157
   18.00000000   1.0218e+01   6.1393e-02   1.0000e+00        19740       321536          157          157
   19.00000000   1.1218e+01   5.0072e-02   1.0000e+00        16100       321536          157          157
   20.00000000   1.2218e+01   3.9420e-02   1.0000e+00        12675       321536          157          157
   21.00000000   1.3218e+01   2.9854e-02   1.0000e+00         9599       321536          157          157
   22.00000000   1.4218e+01   2.1316e-02   1.0000e+00         6854       321536          157          157
   23.00000000   1.5218e+01   1.5022e-02   1.0000e+00         4830       321536          157          157
   24.00000000   1.6218e+01   9.7656e-03   1.0000e+00         3140       321536          157          157
   25.00000000   1.7218e+01   5.6697e-03   1.0000e+00         1823       321536          157          157
   26.00000000   1.8218e+01   3.4428e-03   1.0000e+00         1107       321536          157          157
   27.00000000   1.9218e+01   1.6616e-03   9.6117e-01          701       421888          198          206
   28.00000000   2.0218e+01   7.3874e-04   7.6940e-01          702       950272          357          464
   29.00000000   2.1218e+01   2.8476e-04   4.0682e-01          701      2461696          489         1202
   30.00000000   2.2218e+01   9.8957e-05   1.6416e-01          700      7073792          567         3454
   31.00000000   2.3218e+01   2.6701e-05   4.5231e-02          700     26216448          579        12801
   32.00000000   2.4218e+01   5.6820e-06   9.3926e-03          700    123195392          565        60154
