# data/ber-modem/ber_ask8.dat : auto-generated file
# invoked as: ./src/simulate_ber -m ask -p 3 -cnone -knone -b1e-5 -e 700 -n320000 -t480000000 -s-9 -d1.0 -x60 -o data/ber-modem/ber_ask8.dat 
#
#  modulation scheme   :   amplitude-shift keying
#  modulation depth    :   3 bits/symbol
#  fec (inner)         :   none
#  fec (outer)         :   none
#  frame length        :   256 bytes
#  asymptotic rate     :   3.00000000   bits/second/Hz
#  min packet errors   :   0
#  min bit errors      :   700
#  min packet trials   :   0
#  min bit trials      :   320000
#  max packet trials   :   18446744073709551615
#  max bit trials      :   480000000
#
#     SNR [dB]   Eb/N0 [dB]          BER          PER     bit errs         bits  packet errs      packets
   -9.00000000  -1.3771e+01   4.3340e-01   1.0000e+00       139355       321536          157          157
   -8.00000000  -1.2771e+01   4.2641e-01   1.0000e+00       137107       321536          157          157
   -7.00000000  -1.1771e+01   4.1523e-01   1.0000e+00       133513       321536          157          157
   -6.00000000  -1.0771e+01   4.0438e-01   1.0000e+00       130023       321536          157          157
   -5.00000000  -9.7712e+00   3.9030e-01   1.0000e+00       125495       321536          157          157
   -4.00000000  -8.7712e+00   3.7644e-01   1.0000e+00       121039       321536          157          157
   -3.00000000  -7.7712e+00   3.5889e-01   1.0000e+00       115395       321536          157          157
   -2.00000000  -6.7712e+00   3.4318e-01   1.0000e+00       110346       321536          157          157
   -1.00000000  -5.7712e+00   3.2450e-01   1.0000e+00       104338       321536          157          157
    0.00000000  -4.7712e+00   3.0490e-01   1.0000e+00        98035       321536          157          157
    1.00000000  -3.7712e+00   2.8463e-01   1.0000e+00        91520       321536          157          157
    2.00000000  -2.7712e+00   2.6012e-01   1.0000e+00        83638       321536          157          157
    3.00000000  -1.7712e+00   2.3965e-01   1.0000e+00        77056       321536          157          157
    4.00000000  -7.7121e-01   2.1673e-01   1.0000e+00        69687       321536          157          157
    5.00000000   2.2879e-01   1.9465e-01   1.0000e+00        62586       321536          157          157
    6.00000000   1.2288e+00   1.7322e-01   1.0000e+00        55695       321536          157          157
    7.00000000   2.2288e+00   1.5298e-01   1.0000e+00        49187       321536          157          157
    8.00000000   3.2288e+00   1.3181e-01   1.0000e+00        42381       321536          157          157
    9.00000000   4.2288e+00   1.1359e-01   1.0000e+00        36523       321536          157          157
   10.00000000   5.2288e+00   9.6851e-02   1.0000e+00        31141       321536          157          157
   11.00000000   6.2288e+00   7.9332e-02   1.0000e+00        25508       321536          157          157
   12.00000000   7.2288e+00   6.3909e-02   1.0000e+00        20549       321536          157          157
   13.00000000   8.2288e+00   4.8511e-02   1.0000e+00        15598       321536          157          157
   14.00000000   9.2288e+00   3.5533e-02   1.0000e+00        11425       321536          157          157
   15.00000000   1.0229e+01   2.3683e-02   1.0000e+00         7615       321536          157          157
   16.00000000   1.1229e+01   1.4975e-02   1.0000e+00         4815       321536          157          157
   17.00000000   1.2229e+01   8.4625e-03   1.0000e+00         2721       321536          157          157
   18.00000000   1.3229e+01   4.1395e-03   9.8726e-01         1331       321536          155          157
   19.00000000   1.4229e+01   1.8136e-03   9.6825e-01          702       387072          183          189
   20.00000000   1.5229e+01   5.9134e-04   7.1280e-01          700      1183744          412          578
   21.00000000   1.6229e+01   1.6100e-04   2.8403e-01          700      4347904          603         2123
   22.00000000   1.7229e+01   2.9846e-05   6.0513e-02          700     23453696          693        11452
   23.00000000   1.8229e+01   3.6737e-06   7.5990e-03          700    190543872          707        93039
