# data/ber-modem/ber_bpsk.dat : auto-generated file
# invoked as: ./src/simulate_ber -m bpsk -p 1 -cnone -knone -b1e-5 -e 700 -n320000 -t480000000 -s-9 -d1.0 -x60 -o data/ber-modem/ber_bpsk.dat 
#
#  modulation scheme   :   binary phase-shift keying
#  modulation depth    :   1 bits/symbol
#  fec (inner)         :   none
#  fec (outer)         :   none
#  frame length        :   256 bytes
#  asymptotic rate     :   1.00000000   bits/second/Hz
#  min packet errors   :   0
#  min bit errors      :   700
#  min packet trials   :   0
#  min bit trials      :   320000
#  max packet trials   :   18446744073709551615
#  max bit trials      :   480000000
#
#     SNR [dB]   Eb/N0 [dB]          BER          PER     bit errs         bits  packet errs      packets
   -9.00000000  -9.0000e+00   3.0745e-01   1.0000e+00        98857       321536          157          157
   -8.00000000  -8.0000e+00   2.8794e-01   1.0000e+00        92582       321536          157          157
   -7.00000000  -7.0000e+00   2.6473e-01   1.0000e+00        85119       321536          157          157
   -6.00000000  -6.0000e+00   2.3805e-01   1.0000e+00        76543       321536          157          157
   -5.00000000  -5.0000e+00   2.1257e-01   1.0000e+00        68348       321536          157          157
   -4.00000000  -4.0000e+00   1.8595e-01   1.0000e+00        59790       321536          157          157
   -3.00000000  -3.0000e+00   1.5770e-01   1.0000e+00        50706       321536          157          157
   -2.00000000  -2.0000e+00   1.3122e-01   1.0000e+00        42191       321536          157          157
   -1.00000000  -1.0000e+00   1.0315e-01   1.0000e+00        33167       321536          157          157
    0.00000000   0.0000e+00   7.8452e-02   1.0000e+00        25225       321536          157          157
    1.00000000   1.0000e+00   5.5919e-02   1.0000e+00        17980       321536          157          157
    2.00000000   2.0000e+00   3.8114e-02   1.0000e+00        12255       321536          157          157
    3.00000000   3.0000e+00   2.2990e-02   1.0000e+00         7392       321536          157          157
    4.00000000   4.0000e+00   1.2667e-02   1.0000e+00         4073       321536          157          157
    5.00000000   5.0000e+00   5.9402e-03   1.0000e+00         1910       321536          157          157
    6.00000000   6.0000e+00   2.4570e-03   9.9363e-01          790       321536          156          157
    7.00000000   7.0000e+00   7.5228e-04   8.1099e-01          701       931840          369          455
    8.00000000   8.0000e+00   1.9230e-04   3.2022e-01          701      3645440          570         1780
    9.00000000   9.0000e+00   3.3401e-05   6.7527e-02          700     20957184          691        10233
   10.00000000   1.0000e+01   4.1611e-06   8.6680e-03          700    168224768          712        82141
