# data/ber-modem/ber_dpsk2.dat : auto-generated file
# invoked as: ./src/simulate_ber -m dpsk2 -cnone -knone -b1e-5 -e 700 -n320000 -t640000000 -s-9 -d1.0 -x60 -o data/ber-modem/ber_dpsk2.dat 
#
#  modulation scheme   :   differential phase-shift keying
#  modulation depth    :   1 bits/symbol
#  fec (inner)         :   none
#  fec (outer)         :   none
#  frame length        :   256 bytes
#  asymptotic rate     :   1.00000000   bits/second/Hz
#  min packet errors   :   0
#  min bit errors      :   700
#  min packet trials   :   0
#  min bit trials      :   320000
#  max packet trials   :   18446744073709551615
#  max bit trials      :   640000000
#
#     SNR [dB]   Eb/N0 [dB]          BER          PER     bit errs         bits  packet errs      packets
   -9.00000000  -9.0000e+00   4.4042e-01   1.0000e+00       141610       321536          157          157
   -8.00000000  -8.0000e+00   4.2673e-01   1.0000e+00       137208       321536          157          157
   -7.00000000  -7.0000e+00   4.1093e-01   1.0000e+00       132130       321536          157          157
   -6.00000000  -6.0000e+00   3.8900e-01   1.0000e+00       125078       321536          157          157
   -5.00000000  -5.0000e+00   3.6451e-01   1.0000e+00       117202       321536          157          157
   -4.00000000  -4.0000e+00   3.3609e-01   1.0000e+00       108066       321536          157          157
   -3.00000000  -3.0000e+00   3.0462e-01   1.0000e+00        97947       321536          157          157
   -2.00000000  -2.0000e+00   2.6733e-01   1.0000e+00        85956       321536          157          157
   -1.00000000  -1.0000e+00   2.2373e-01   1.0000e+00        71936       321536          157          157
    0.00000000   0.0000e+00   1.8448e-01   1.0000e+00        59318       321536          157          157
    1.00000000   1.0000e+00   1.4205e-01   1.0000e+00        45673       321536          157          157
    2.00000000   2.0000e+00   1.0296e-01   1.0000e+00        33105       321536          157          157
    3.00000000   3.0000e+00   6.7837e-02   1.0000e+00        21812       321536          157          157
    4.00000000   4.0000e+00   4.0692e-02   1.0000e+00        13084       321536          157          157
    5.00000000   5.0000e+00   2.1251e-02   1.0000e+00         6833       321536          157          157
    6.00000000   6.0000e+00   9.2649e-03   1.0000e+00         2979       321536          157          157
    7.00000000   7.0000e+00   3.2438e-03   9.7452e-01         1043       321536          153          157
    8.00000000   8.0000e+00   8.9947e-04   8.0000e-01          700       778240          304          380
    9.00000000   9.0000e+00   1.9234e-04   2.7293e-01          700      3639296          485         1777
   10.00000000   1.0000e+01   2.3159e-05   3.9095e-02          700     30226432          577        14759
   11.00000000   1.1000e+01   1.7951e-06   3.2194e-03          700    389951488          613       190406
