# data/ber-modem/ber_psk8.dat : auto-generated file
# invoked as: ./src/simulate_ber -m psk -p 3 -cnone -knone -b1e-5 -e 700 -n320000 -t480000000 -s-9 -d1.0 -x60 -o data/ber-modem/ber_psk8.dat 
#
#  modulation scheme   :   phase-shift keying
#  modulation depth    :   3 bits/symbol
#  fec (inner)         :   none
#  fec (outer)         :   none
#  frame length        :   256 bytes
#  asymptotic rate     :   3.00000000   bits/second/Hz
#  min packet errors   :   0
#  min bit errors      :   700
#  min packet trials   :   0
#  min bit trials      :   320000
#  max packet trials   :   18446744073709551615
#  max bit trials      :   480000000
#
#     SNR [dB]   Eb/N0 [dB]          BER          PER     bit errs         bits  packet errs      packets
   -9.00000000  -1.3771e+01   4.0668e-01   1.0000e+00       130763       321536          157          157
   -8.00000000  -1.2771e+01   3.9407e-01   1.0000e+00       126709       321536          157          157
   -7.00000000  -1.1771e+01   3.8060e-01   1.0000e+00       122377       321536          157          157
   -6.00000000  -1.0771e+01   3.6346e-01   1.0000e+00       116866       321536          157          157
   -5.00000000  -9.7712e+00   3.5036e-01   1.0000e+00       112654       321536          157          157
   -4.00000000  -8.7712e+00   3.2961e-01   1.0000e+00       105982       321536          157          157
   -3.00000000  -7.7712e+00   3.1048e-01   1.0000e+00        99831       321536          157          157
   -2.00000000  -6.7712e+00   2.8946e-01   1.0000e+00        93071       321536          157          157
   -1.00000000  -5.7712e+00   2.6581e-01   1.0000e+00        85469       321536          157          157
    0.00000000  -4.7712e+00   2.4049e-01   1.0000e+00        77327       321536          157          157
    1.00000000  -3.7712e+00   2.1508e-01   1.0000e+00        69157       321536          157          157
    2.00000000  -2.7712e+00   1.8994e-01   1.0000e+00        61071       321536          157          157
    3.00000000  -1.7712e+00   1.6463e-01   1.0000e+00        52936       321536          157          157
    4.00000000  -7.7121e-01   1.4161e-01   1.0000e+00        45532       321536          157          157
    5.00000000   2.2879e-01   1.1700e-01   1.0000e+00        37619       321536          157          157
    6.00000000   1.2288e+00   9.5961e-02   1.0000e+00        30855       321536          157          157
    7.00000000   2.2288e+00   7.6822e-02   1.0000e+00        24701       321536          157          157
    8.00000000   3.2288e+00   5.7555e-02   1.0000e+00        18506       321536          157          157
    9.00000000   4.2288e+00   4.2337e-02   1.0000e+00        13613       321536          157          157
   10.00000000   5.2288e+00   2.8877e-02   1.0000e+00         9285       321536          157          157
   11.00000000   6.2288e+00   1.7905e-02   1.0000e+00         5757       321536          157          157
   12.00000000   7.2288e+00   1.0170e-02   1.0000e+00         3270       321536          157          157
   13.00000000   8.2288e+00   5.4955e-03   1.0000e+00         1767       321536          157          157
   14.00000000   9.2288e+00   2.1926e-03   9.9363e-01          705       321536          156          157
   15.00000000   1.0229e+01   7.4898e-04   7.6805e-01          701       935936          351          457
   16.00000000   1.1229e+01   2.0803e-04   3.4632e-01          700      3364864          569         1643
   17.00000000   1.2229e+01   4.3211e-05   8.5714e-02          700     16199680          678         7910
   18.00000000   1.3229e+01   6.1427e-06   1.2778e-02          700    113956864          711        55643
