# data/ber-modem/ber_qam128.dat : auto-generated file
# invoked as: ./src/simulate_ber -m qam128 -cnone -knone -b1e-5 -e 700 -n320000 -t640000000 -s-9 -d1.0 -x60 -o data/ber-modem/ber_qam128.dat 
#
#  modulation scheme   :   quadrature amplitude-shift keying
#  modulation depth    :   7 bits/symbol
#  fec (inner)         :   none
#  fec (outer)         :   none
#  frame length        :   256 bytes
#  asymptotic rate     :   7.00000000   bits/second/Hz
#  min packet errors   :   0
#  min bit errors      :   700
#  min packet trials   :   0
#  min bit trials      :   320000
#  max packet trials   :   18446744073709551615
#  max bit trials      :   640000000
#
#     SNR [dB]   Eb/N0 [dB]          BER          PER     bit errs         bits  packet errs      packets
   -9.00000000  -1.7451e+01   4.6418e-01   1.0000e+00       149252       321536          157          157
   -8.00000000  -1.6451e+01   4.5823e-01   1.0000e+00       147336       321536          157          157
   -7.00000000  -1.5451e+01   4.5534e-01   1.0000e+00       146408       321536          157          157
   -6.00000000  -1.4451e+01   4.4796e-01   1.0000e+00       144034       321536          157          157
   -5.00000000  -1.3451e+01   4.3966e-01   1.0000e+00       141368       321536          157          157
   -4.00000000  -1.2451e+01   4.3061e-01   1.0000e+00       138457       321536          157          157
   -3.00000000  -1.1451e+01   4.2359e-01   1.0000e+00       136200       321536          157          157
   -2.00000000  -1.0451e+01   4.1138e-01   1.0000e+00       132274       321536          157          157
   -1.00000000  -9.4510e+00   4.0191e-01   1.0000e+00       129227       321536          157          157
    0.00000000  -8.4510e+00   3.8839e-01   1.0000e+00       124880       321536          157          157
    1.00000000  -7.4510e+00   3.7423e-01   1.0000e+00       120328       321536          157          157
    2.00000000  -6.4510e+00   3.6097e-01   1.0000e+00       116065       321536          157          157
    3.00000000  -5.4510e+00   3.4433e-01   1.0000e+00       110713       321536          157          157
    4.00000000  -4.4510e+00   3.2934e-01   1.0000e+00       105895       321536          157          157
    5.00000000  -3.4510e+00   3.1326e-01   1.0000e+00       100724       321536          157          157
    6.00000000  -2.4510e+00   2.9593e-01   1.0000e+00        95152       321536          157          157
    7.00000000  -1.4510e+00   2.7509e-01   1.0000e+00        88451       321536          157          157
    8.00000000  -4.5098e-01   2.5673e-01   1.0000e+00        82547       321536          157          157
    9.00000000   5.4902e-01   2.3696e-01   1.0000e+00        76190       321536          157          157
   10.00000000   1.5490e+00   2.1599e-01   1.0000e+00        69447       321536          157          157
   11.00000000   2.5490e+00   1.9471e-01   1.0000e+00        62607       321536          157          157
   12.00000000   3.5490e+00   1.7442e-01   1.0000e+00        56081       321536          157          157
   13.00000000   4.5490e+00   1.5404e-01   1.0000e+00        49531       321536          157          157
   14.00000000   5.5490e+00   1.3615e-01   1.0000e+00        43778       321536          157          157
   15.00000000   6.5490e+00   1.1913e-01   1.0000e+00        38303       321536          157          157
   16.00000000   7.5490e+00   1.0186e-01   1.0000e+00        32751       321536          157          157
   17.00000000   8.5490e+00   8.6298e-02   1.0000e+00        27748       321536          157          157
   18.00000000   9.5490e+00   7.1836e-02   1.0000e+00        23098       321536          157          157
   19.00000000   1.0549e+01   5.7552e-02   1.0000e+00        18505       321536          157          157
   20.00000000   1.1549e+01   4.3718e-02   1.0000e+00        14057       321536          157          157
   21.00000000   1.2549e+01   3.1863e-02   1.0000e+00        10245       321536          157          157
   22.00000000   1.3549e+01   2.1951e-02   1.0000e+00         7058       321536          157          157
   23.00000000   1.4549e+01   1.3289e-02   1.0000e+00         4273       321536          157          157
   24.00000000   1.5549e+01   7.6881e-03   1.0000e+00         2472       321536          157          157
   25.00000000   1.6549e+01   3.8005e-03   1.0000e+00         1222       321536          157          157
   26.00000000   1.7549e+01   1.5701e-03   9.7706e-01          701       446464          213          218
   27.00000000   1.8549e+01   5.4863e-04   6.7095e-01          700      1275904          418          623
   28.00000000   1.9549e+01   1.4576e-04   2.6567e-01          700      4802560          623         2345
   29.00000000   2.0549e+01   2.9422e-05   5.8879e-02          700     23791616          684        11617
   30.00000000   2.1549e+01   3.5176e-06   7.1732e-03          700    198998016          697        97167
