# data/ber-modem/ber_qam256.dat : auto-generated file
# invoked as: ./src/simulate_ber -m qam -p 8 -cnone -knone -b1e-5 -e 700 -n320000 -t480000000 -s-9 -d1.0 -x60 -o data/ber-modem/ber_qam256.dat 
#
#  modulation scheme   :   quadrature amplitude-shift keying
#  modulation depth    :   8 bits/symbol
#  fec (inner)         :   none
#  fec (outer)         :   none
#  frame length        :   256 bytes
#  asymptotic rate     :   8.00000000   bits/second/Hz
#  min packet errors   :   0
#  min bit errors      :   700
#  min packet trials   :   0
#  min bit trials      :   320000
#  max packet trials   :   18446744073709551615
#  max bit trials      :   480000000
#
#     SNR [dB]   Eb/N0 [dB]          BER          PER     bit errs         bits  packet errs      packets
   -9.00000000  -1.8031e+01   4.6709e-01   1.0000e+00       150187       321536          157          157
   -8.00000000  -1.7031e+01   4.6285e-01   1.0000e+00       148822       321536          157          157
   -7.00000000  -1.6031e+01   4.5702e-01   1.0000e+00       146948       321536          157          157
   -6.00000000  -1.5031e+01   4.5151e-01   1.0000e+00       145178       321536          157          157
   -5.00000000  -1.4031e+01   4.4410e-01   1.0000e+00       142794       321536          157          157
   -4.00000000  -1.3031e+01   4.3506e-01   1.0000e+00       139889       321536          157          157
   -3.00000000  -1.2031e+01   4.2578e-01   1.0000e+00       136904       321536          157          157
   -2.00000000  -1.1031e+01   4.1771e-01   1.0000e+00       134309       321536          157          157
   -1.00000000  -1.0031e+01   4.0785e-01   1.0000e+00       131139       321536          157          157
    0.00000000  -9.0309e+00   3.9564e-01   1.0000e+00       127212       321536          157          157
    1.00000000  -8.0309e+00   3.8263e-01   1.0000e+00       123030       321536          157          157
    2.00000000  -7.0309e+00   3.6759e-01   1.0000e+00       118192       321536          157          157
    3.00000000  -6.0309e+00   3.5519e-01   1.0000e+00       114205       321536          157          157
    4.00000000  -5.0309e+00   3.3824e-01   1.0000e+00       108756       321536          157          157
    5.00000000  -4.0309e+00   3.2234e-01   1.0000e+00       103643       321536          157          157
    6.00000000  -3.0309e+00   3.0633e-01   1.0000e+00        98497       321536          157          157
    7.00000000  -2.0309e+00   2.9068e-01   1.0000e+00        93464       321536          157          157
    8.00000000  -1.0309e+00   2.7229e-01   1.0000e+00        87550       321536          157          157
    9.00000000  -3.0900e-02   2.5583e-01   1.0000e+00        82257       321536          157          157
   10.00000000   9.6910e-01   2.3715e-01   1.0000e+00        76253       321536          157          157
   11.00000000   1.9691e+00   2.1733e-01   1.0000e+00        69880       321536          157          157
   12.00000000   2.9691e+00   1.9866e-01   1.0000e+00        63875       321536          157          157
   13.00000000   3.9691e+00   1.7934e-01   1.0000e+00        57664       321536          157          157
   14.00000000   4.9691e+00   1.5966e-01   1.0000e+00        51336       321536          157          157
   15.00000000   5.9691e+00   1.4119e-01   1.0000e+00        45399       321536          157          157
   16.00000000   6.9691e+00   1.2451e-01   1.0000e+00        40035       321536          157          157
   17.00000000   7.9691e+00   1.0869e-01   1.0000e+00        34948       321536          157          157
   18.00000000   8.9691e+00   9.2836e-02   1.0000e+00        29850       321536          157          157
   19.00000000   9.9691e+00   7.8452e-02   1.0000e+00        25225       321536          157          157
   20.00000000   1.0969e+01   6.5912e-02   1.0000e+00        21193       321536          157          157
   21.00000000   1.1969e+01   5.2504e-02   1.0000e+00        16882       321536          157          157
   22.00000000   1.2969e+01   3.9800e-02   1.0000e+00        12797       321536          157          157
   23.00000000   1.3969e+01   2.9676e-02   1.0000e+00         9542       321536          157          157
   24.00000000   1.4969e+01   2.0209e-02   1.0000e+00         6498       321536          157          157
   25.00000000   1.5969e+01   1.2646e-02   1.0000e+00         4066       321536          157          157
   26.00000000   1.6969e+01   7.1438e-03   1.0000e+00         2297       321536          157          157
   27.00000000   1.7969e+01   3.5206e-03   1.0000e+00         1132       321536          157          157
   28.00000000   1.8969e+01   1.5510e-03   9.6833e-01          702       452608          214          221
   29.00000000   1.9969e+01   5.0863e-04   6.4583e-01          700      1376256          434          672
   30.00000000   2.0969e+01   1.3061e-04   2.3729e-01          700      5359616          621         2617
   31.00000000   2.1969e+01   2.8292e-05   5.7280e-02          700     24741888          692        12081
   32.00000000   2.2969e+01   3.4513e-06   7.1389e-03          700    202823680          707        99035
