# data/ber-modem/ber_sqam128.dat : auto-generated file
# invoked as: ./src/simulate_ber -m sqam128 -p 7 -cnone -knone -b1e-5 -e 700 -n320000 -t480000000 -s-9 -d1.0 -x60 -o data/ber-modem/ber_sqam128.dat 
#
#  modulation scheme   :   'square' 128-QAM
#  modulation depth    :   7 bits/symbol
#  fec (inner)         :   none
#  fec (outer)         :   none
#  frame length        :   256 bytes
#  asymptotic rate     :   7.00000000   bits/second/Hz
#  min packet errors   :   0
#  min bit errors      :   700
#  min packet trials   :   0
#  min bit trials      :   320000
#  max packet trials   :   18446744073709551615
#  max bit trials      :   480000000
#
#     SNR [dB]   Eb/N0 [dB]          BER          PER     bit errs         bits  packet errs      packets
   -9.00000000  -1.7451e+01   4.6636e-01   1.0000e+00       149953       321536          157          157
   -8.00000000  -1.6451e+01   4.6121e-01   1.0000e+00       148295       321536          157          157
   -7.00000000  -1.5451e+01   4.5678e-01   1.0000e+00       146871       321536          157          157
   -6.00000000  -1.4451e+01   4.4900e-01   1.0000e+00       144371       321536          157          157
   -5.00000000  -1.3451e+01   4.4321e-01   1.0000e+00       142507       321536          157          157
   -4.00000000  -1.2451e+01   4.3838e-01   1.0000e+00       140956       321536          157          157
   -3.00000000  -1.1451e+01   4.2763e-01   1.0000e+00       137500       321536          157          157
   -2.00000000  -1.0451e+01   4.1973e-01   1.0000e+00       134957       321536          157          157
   -1.00000000  -9.4510e+00   4.1041e-01   1.0000e+00       131961       321536          157          157
    0.00000000  -8.4510e+00   3.9957e-01   1.0000e+00       128476       321536          157          157
    1.00000000  -7.4510e+00   3.8953e-01   1.0000e+00       125248       321536          157          157
    2.00000000  -6.4510e+00   3.7705e-01   1.0000e+00       121234       321536          157          157
    3.00000000  -5.4510e+00   3.6141e-01   1.0000e+00       116206       321536          157          157
    4.00000000  -4.4510e+00   3.5044e-01   1.0000e+00       112679       321536          157          157
    5.00000000  -3.4510e+00   3.3400e-01   1.0000e+00       107394       321536          157          157
    6.00000000  -2.4510e+00   3.1465e-01   1.0000e+00       101171       321536          157          157
    7.00000000  -1.4510e+00   2.9722e-01   1.0000e+00        95566       321536          157          157
    8.00000000  -4.5098e-01   2.7928e-01   1.0000e+00        89797       321536          157          157
    9.00000000   5.4902e-01   2.5643e-01   1.0000e+00        82452       321536          157          157
   10.00000000   1.5490e+00   2.3397e-01   1.0000e+00        75231       321536          157          157
   11.00000000   2.5490e+00   2.1251e-01   1.0000e+00        68330       321536          157          157
   12.00000000   3.5490e+00   1.9025e-01   1.0000e+00        61173       321536          157          157
   13.00000000   4.5490e+00   1.6815e-01   1.0000e+00        54066       321536          157          157
   14.00000000   5.5490e+00   1.4671e-01   1.0000e+00        47174       321536          157          157
   15.00000000   6.5490e+00   1.2674e-01   1.0000e+00        40750       321536          157          157
   16.00000000   7.5490e+00   1.0855e-01   1.0000e+00        34903       321536          157          157
   17.00000000   8.5490e+00   9.0360e-02   1.0000e+00        29054       321536          157          157
   18.00000000   9.5490e+00   7.2042e-02   1.0000e+00        23164       321536          157          157
   19.00000000   1.0549e+01   5.5098e-02   1.0000e+00        17716       321536          157          157
   20.00000000   1.1549e+01   3.9576e-02   1.0000e+00        12725       321536          157          157
   21.00000000   1.2549e+01   2.6725e-02   1.0000e+00         8593       321536          157          157
   22.00000000   1.3549e+01   1.6676e-02   1.0000e+00         5362       321536          157          157
   23.00000000   1.4549e+01   9.3271e-03   1.0000e+00         2999       321536          157          157
   24.00000000   1.5549e+01   4.7273e-03   1.0000e+00         1520       321536          157          157
   25.00000000   1.6549e+01   1.8481e-03   9.3548e-01          704       380928          174          186
   26.00000000   1.7549e+01   6.4098e-04   6.1236e-01          701      1093632          327          534
   27.00000000   1.8549e+01   1.5084e-04   2.2154e-01          700      4640768          502         2266
   28.00000000   1.9549e+01   3.0605e-05   4.5129e-02          700     22872064          504        11168
   29.00000000   2.0549e+01   3.3833e-06   5.2562e-03          700    206897152          531       101024
