# data/ber-modem/modem_snr.dat : auto-generated file
#
# invoked as : ./src/estimate_snr_modem -x8000000
#
# options:
#  min. packet errors  :   0
#  min. bit errors     :   50
#  min. packet trials  :   0
#  min. bit trials     :   5000
#  max. packet trials  :   18446744073709551615
#  max. bit trials     :   8000000
#  estimation for      :   BER
#  target error rate   :   1.0000e-05  
#  frame length        :   1024 bytes
#  fec (inner)         :   none
#  fec (outer)         :   none
#
# modem          id  b/s   rate [b/s]     SNR [dB]   Eb/N0 [dB]
 "psk2"          1    1     1.000000     9.685200     9.685200
 "psk4"          1    2     2.000000    12.685784     9.675484
 "psk8"          1    3     3.000000    17.655880    12.884667
 "psk16"         1    4     4.000000    23.485521    17.464920
 "psk32"         1    5     5.000000    29.297199    22.307499
 "psk64"         1    6     6.000000    35.226013    27.444500
 "psk128"        1    7     7.000000    41.154270    32.703289
 "psk256"        1    8     8.000000    47.077271    38.046371
 "dpsk2"         2    1     1.000000    10.242640    10.242640
 "dpsk4"         2    2     2.000000    14.945217    11.934917
 "dpsk8"         2    3     3.000000    20.602016    15.830804
 "dpsk16"        2    4     4.000000    26.398720    20.378120
 "dpsk32"        2    5     5.000000    32.355022    25.365322
 "dpsk64"        2    6     6.000000    38.339054    30.557541
 "dpsk128"       2    7     7.000000    44.178856    35.727875
 "dpsk256"       2    8     8.000000    49.160496    40.129597
 "ask2"          3    1     1.000000     9.607677     9.607677
 "ask4"          3    2     2.000000    16.276144    13.265844
 "ask8"          3    3     3.000000    22.554688    17.783474
 "ask16"         3    4     4.000000    28.498161    22.477562
 "ask32"         3    5     5.000000    34.411858    27.422157
 "ask64"         3    6     6.000000    40.480915    32.699402
 "ask128"        3    7     7.000000    46.382286    37.931305
 "ask256"        3    8     8.000000    49.263958    40.233059
 "qam4"          4    2     2.000000    12.666361     9.656061
 "qam8"          4    3     3.000000    17.281353    12.510140
 "qam16"         4    4     4.000000    19.437220    13.416619
 "qam32"         4    5     5.000000    23.537086    16.547386
 "qam64"         4    6     6.000000    25.652735    17.871222
 "qam128"        4    7     7.000000    29.414640    20.963661
 "qam256"        4    8     8.000000    31.578701    22.547802
 "apsk4"         5    2     2.000000    14.712225    11.701925
 "apsk8"         5    3     3.000000    16.034449    11.263236
 "apsk16"        5    4     4.000000    19.957304    13.936704
 "apsk32"        5    5     5.000000    23.324726    16.335026
 "apsk64"        5    6     6.000000    26.954794    19.173281
 "apsk128"       5    7     7.000000    30.525356    22.074375
 "apsk256"       5    8     8.000000    32.942818    23.911919
 "bpsk"          7    1     1.000000     9.548368     9.548368
 "qpsk"          8    2     2.000000    12.546342     9.536041
 "ook"           9    1     1.000000    12.488394    12.488394
 "sqam32"       10    5     5.000000    22.518776    15.529076
 "sqam128"      11    7     7.000000    28.514496    20.063515
 "V29"          12    4     4.000000    20.394949    14.374349
 "arb16opt"     13    4     4.000000    19.270870    13.250270
 "arb32opt"     14    5     5.000000    22.079220    15.089520
 "arb64opt"     15    6     6.000000    25.2218      17.4403
 "arb128opt"    16    7     7.000000    28.1928      19.7418
 "arb256opt"    17    8     8.000000    31.0881      22.0572
 "arb64vt"      18    6     6.000000    31.713528    23.932014
