# m-sequence generator polynomials (m=10)
# hex       oct       bin
  0x0409    002011    10000001001
  0x041b    002033    10000011011
  0x0427    002047    10000100111
  0x042d    002055    10000101101
  0x0465    002145    10001100101
  0x046f    002157    10001101111
  0x0481    002201    10010000001
  0x048b    002213    10010001011
  0x04c5    002305    10011000101
  0x04d7    002327    10011010111
  0x04e7    002347    10011100111
  0x04f3    002363    10011110011
  0x04ff    002377    10011111111
  0x050d    002415    10100001101
  0x0519    002431    10100011001
  0x0523    002443    10100100011
  0x0531    002461    10100110001
  0x053d    002475    10100111101
  0x0543    002503    10101000011
  0x0557    002527    10101010111
  0x056b    002553    10101101011
  0x0585    002605    10110000101
  0x058f    002617    10110001111
  0x0597    002627    10110010111
  0x05a1    002641    10110100001
  0x05c7    002707    10111000111
  0x05e5    002745    10111100101
  0x05f7    002767    10111110111
  0x05fb    002773    10111111011
  0x0613    003023    11000010011
  0x0615    003025    11000010101
  0x0625    003045    11000100101
  0x0637    003067    11000110111
  0x0643    003103    11001000011
  0x064f    003117    11001001111
  0x065b    003133    11001011011
  0x0679    003171    11001111001
  0x067f    003177    11001111111
  0x0689    003211    11010001001
  0x06b5    003265    11010110101
  0x06c1    003301    11011000001
  0x06d3    003323    11011010011
  0x06df    003337    11011011111
  0x06fd    003375    11011111101
  0x0717    003427    11100010111
  0x071d    003435    11100011101
  0x0721    003441    11100100001
  0x0739    003471    11100111001
  0x0747    003507    11101000111
  0x074d    003515    11101001101
  0x0755    003525    11101010101
  0x0759    003531    11101011001
  0x0763    003543    11101100011
  0x077d    003575    11101111101
  0x078d    003615    11110001101
  0x0793    003623    11110010011
  0x07b1    003661    11110110001
  0x07db    003733    11111011011
  0x07f3    003763    11111110011
  0x07f9    003771    11111111001
